"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"101","Alyson Dixon","F",37,155,43,17.89802289282,2016,"UK","Northern Europe","Europe",65637239,2.6479e+12,0,0,FALSE,28,FALSE,"2:34:11",154.183333333333,9251
"102","Sonia Samuels","F",37,162,47,17.908855357415,2016,"UK","Northern Europe","Europe",65637239,2.6479e+12,0,0,FALSE,30,FALSE,"2:34:36",154.6,9276
"103","Paula Jane Radcliffe (-Lough)","F",34,173,54,18.0427010591734,2008,"UK","Northern Europe","Europe",61806995,2.89056e+12,0,0,FALSE,23,FALSE,"2:32:38",152.633333333333,9158
"104","Susan Julia Tooby (-Wightman)","F",27,165,49,17.9981634527089,1988,"UK","Northern Europe","Europe",56928327,9.10123e+11,0,0,FALSE,12,FALSE,"2:31:33",151.55,9093
"105","Susan Sarah ""Sue"" Crehan (Smart-)","F",32,165,55,20.2020202020202,1988,"UK","Northern Europe","Europe",56928327,9.10123e+11,0,0,FALSE,32,FALSE,"2:36:57",156.95,9417
"106","Anja Scherl","F",30,160,48,18.75,2016,"Germany","Western Europe","Europe",82667685,3.4778e+12,0,0,FALSE,44,FALSE,"2:37:23",157.383333333333,9443
"107","Irina Mikitenko (Volynskaya-)","F",39,162,47,17.908855357415,2012,"Germany","Western Europe","Europe",80425823,3.54398e+12,0,0,FALSE,14,FALSE,"2:26:44",146.733333333333,8804
"108","Anna Hahner","F",26,165,48,17.6308539944904,2016,"Germany","Western Europe","Europe",82667685,3.4778e+12,0,0,FALSE,81,FALSE,"2:45:32",165.533333333333,9932
"109","Melanie Kraus","F",33,165,50,18.3654729109275,2008,"Germany","Western Europe","Europe",82110097,3.75237e+12,0,0,FALSE,38,FALSE,"2:35:17",155.283333333333,9317
"110","Lisa Hahner","F",26,167,50,17.9282154254366,2016,"Germany","Western Europe","Europe",82667685,3.4778e+12,0,0,FALSE,82,FALSE,"2:45:33",165.55,9933
"111","Susanne Hahn (Ritter-)","F",34,169,50,17.5063898322888,2012,"Germany","Western Europe","Europe",80425823,3.54398e+12,0,0,FALSE,32,FALSE,"2:30:22",150.366666666667,9022
"112","Luminita Zaituc","F",35,165,50,18.3654729109275,2004,"Germany","Western Europe","Europe",82516260,2.81925e+12,0,0,FALSE,18,FALSE,"2:36:45",156.75,9405
"113","Susanne Hahn (Ritter-)","F",30,169,50,17.5063898322888,2008,"Germany","Western Europe","Europe",82110097,3.75237e+12,0,0,FALSE,52,FALSE,"2:38:31",158.516666666667,9511
"114","Sofia Riga","F",28,154,46,19.3961882273571,2016,"Greece","Southern Europe","Europe",10746740,1.92691e+11,0,1,FALSE,103,FALSE,"2:49:07",169.116666666667,10147
"115","Georgia Abatzidou","F",35,155,43,17.89802289282,2004,"Greece","Southern Europe","Europe",10955141,2.40521e+11,0,1,TRUE,50,FALSE,"2:50:01",170.016666666667,10201
"116","Gina Lizeth Coello Touche","F",37,160,44,17.1875,2000,"Honduras","Latin America and the Caribbean","Latin America and the Caribbean",6524283,7103529494,0,0,FALSE,42,FALSE,"3:02:32",182.533333333333,10952
"117","Krisztina Papp","F",33,173,53,17.708576965485,2016,"Hungary","Eastern Europe","Europe",9817958,1.25817e+11,0,0,FALSE,65,FALSE,"2:42:03",162.05,9723
"118","Petra Teveli (Prokoppne-)","F",28,165,48,17.6308539944904,2008,"Hungary","Eastern Europe","Europe",10038188,1.57998e+11,0,0,FALSE,65,FALSE,"2:48:32",168.533333333333,10112
"119","Simona Staicu","F",33,163,47,17.6897888516692,2004,"Hungary","Eastern Europe","Europe",10107146,1.04067e+11,0,0,FALSE,45,FALSE,"2:48:57",168.95,10137
