Name,Score
Ayumu Hisaibaru,1015
Patrick Cheruiyot,1015
Justin Mahieu,1015
Julien Devanne,1015
Jens Nerkamp,1015
Ciwang Danmuzhen,1014
Kaleab Selomon,1014
Satoru Kasuya,1014
Sammy Nyokaye,1014
Jon Aziz,1014
Tetsuya Yoroizaka,1013
Bernard Mwendia Muthoni,1013
Ruslan Khoroshilov,1013
Alex Taylor,1013
Brett Lustgarten,1013
Kazuya Azekami,1013
Berhanu Degefa,1013
Dominic Shaw,1012
Konstantinos Gelaouzos,1012
Abdelali Razyn,1012
Takuya Saito,1012
Joel Kipsang Kositany,1012
Hyung Guk Do,1012
Elijah Rugut,1012
Emil Dobrowolski,1011
Artyom Aplachkin,1011
Wenguo Fu,1011
Takeshi Okada,1011
Matthias Eymard,1011
Taher Belkorchi,1011
Giovani Dos Santos,1011
Jean Baptiste Simukeka,1011
Marius Ionescu,1011
Thomas Do Canto,1011
Christopher Kipyego,1010
Ilya Tyapkin,1010
Ryan Miller,1010
Anis Selmouni,1010
Abdu Endris,1010
Samuel Barata,1009
Yuta Koyama,1009
Michael Roeger,1009
Nkosikhona Mhlakwana,1009
Yohannesse Degefa,1009
Kenshi Shibata,1009
Manuel Jesus Cabrera Leal,1009
